Barcode,Barcode_Prefix,Barcode_Postfix,Barcode_Postfix_Diff
A0001975549,A,0001975549,84
A0002007573,A,0002007573,5759
A0002013332,A,0002013332,281
A0002013613,A,0002013613,265
A0002013878,A,0002013878,50
A0002013928,A,0002013928,50
A0002017002,A,0002017002,1354
A0002018356,A,0002018356,1354
A0002022606,A,0002022606,4250
A0002031284,A,0002031284,8678
A0002069722,A,0002069722,1410
A0002071132,A,0002071132,1410
A0002078921,A,0002078921,5081
A0002084002,A,0002084002,133
A0002084135,A,0002084135,133
A0002088763,A,0002088763,2731
A0002091494,A,0002091494,644
A0002092138,A,0002092138,644
A0002093979,A,0002093979,1841
A0002105062,A,0002105062,11083
A0002131217,A,0002131217,57
A0002131274,A,0002131274,57
A0002131928,A,0002131928,654
A0002133866,A,0002133866,1064
A0002134930,A,0002134930,1064
A0002151959,A,0002151959,470
A0002152429,A,0002152429,470
A0002153526,A,0002153526,1097
A0002193316,A,0002193316,27670
A0002220986,A,0002220986,32
A0002221018,A,0002221018,32
A0002221646,A,0002221646,628
A0002295558,A,0002295558,66
A0002295624,A,0002295624,66
A0002298669,A,0002298669,3045
A0002302206,A,0002302206,487
A0002302693,A,0002302693,487
A0002310373,A,0002310373,315
A0002310688,A,0002310688,91
A0002310779,A,0002310779,91
A0002312742,A,0002312742,271
A0002313013,A,0002313013,271
A0002323293,A,0002323293,10280
A0002385037,A,0002385037,445
A0002385482,A,0002385482,167
A0002385649,A,0002385649,167
A0002388262,A,0002388262,2613
A0002393288,A,0002393288,5026
A0002438448,A,0002438448,122
A0002438570,A,0002438570,122
A0002476190,A,0002476190,21345
A0002497535,A,0002497535,659
A0002498194,A,0002498194,42
A0002498236,A,0002498236,42
A0002499572,A,0002499572,198
A0002499770,A,0002499770,198
A0002500312,A,0002500312,542
A0002501401,A,0002501401,602
A0002502003,A,0002502003,602
A0002505097,A,0002505097,65
A0002505162,A,0002505162,65
A0002520484,A,0002520484,396
A0002520880,A,0002520880,396
A0002521508,A,0002521508,628
A0002554483,A,0002554483,32975
A0002658193,A,0002658193,26277
A0002684470,A,0002684470,26277
A0002746758,A,0002746758,34774
A0002781532,A,0002781532,6947
A0002788479,A,0002788479,6947
A0002835445,A,0002835445,20172
A0002855617,A,0002855617,20172
A0002907749,A,0002907749,148
A0002907897,A,0002907897,148
A0002908648,A,0002908648,751
A0003008968,A,0003008968,41695
A0003050663,A,0003050663,41695
A0003118486,A,0003118486,388
A0003118874,A,0003118874,388
A0003122348,A,0003122348,3474
A0003167939,A,0003167939,45591
A0003216751,A,0003216751,48812
A0003268463,A,0003268463,487
A0003268950,A,0003268950,487
A0003269982,A,0003269982,1032
A0003275773,A,0003275773,5791
A0003290194,A,0003290194,2558
A0003292752,A,0003292752,1543
A0003294295,A,0003294295,1543
A0003296969,A,0003296969,759
A0003297728,A,0003297728,759
A0003303856,A,0003303856,6128
A0003331220,A,0003331220,17509
A0003348729,A,0003348729,17509
A0003371044,A,0003371044,22315
A0003445376,A,0003445376,190
A0003445566,A,0003445566,190
A0003457793,A,0003457793,11649
A0003469442,A,0003469442,2219
A0003471661,A,0003471661,917
A0003472578,A,0003472578,917
A0003481116,A,0003481116,8
A0003481124,A,0003481124,8
A0003481132,A,0003481132,8
A0003481157,A,0003481157,25
A0003481272,A,0003481272,115
A0003485885,A,0003485885,4613
A0003514437,A,0003514437,28552
A0003553070,A,0003553070,2170
A0003555240,A,0003555240,2170
A0003584653,A,0003584653,27100
A0003611753,A,0003611753,15460
A0003627213,A,0003627213,15460
A0003647450,A,0003647450,7954
A0003655404,A,0003655404,7459
A0003662863,A,0003662863,759
A0003663622,A,0003663622,759
A0003667300,A,0003667300,1065
A0003668365,A,0003668365,1065
A0003672185,A,0003672185,3820
A0003706223,A,0003706223,907
A0003707130,A,0003707130,907
A0003712619,A,0003712619,5489
A0003718806,A,0003718806,6187
A0003730702,A,0003730702,1297
A0003731999,A,0003731999,1297
A0003734514,A,0003734514,107
A0003734621,A,0003734621,107
A0003737822,A,0003737822,1873
A0003739695,A,0003739695,1873
A0003742590,A,0003742590,174
A0003742764,A,0003742764,174
A0003743143,A,0003743143,379
A0003752615,A,0003752615,4726
A0003757341,A,0003757341,619
A0003757960,A,0003757960,619
A0003761947,A,0003761947,1863
A0003763810,A,0003763810,669
A0003764479,A,0003764479,591
A0003765070,A,0003765070,591
A0003768702,A,0003768702,3632
A0003881091,A,0003881091,331
A0003881422,A,0003881422,331
A0003881810,A,0003881810,388
A0003885316,A,0003885316,3506
A0003940236,A,0003940236,156
A0003940392,A,0003940392,156
A0003941978,A,0003941978,22
A0003942000,A,0003942000,22
A0003942968,A,0003942968,40
A0003943008,A,0003943008,40
A0003943990,A,0003943990,73
A0003944063,A,0003944063,73
A0003945169,A,0003945169,1106
A0003954864,A,0003954864,91
A0003954955,A,0003954955,91
A0003980182,A,0003980182,11320
A0003991502,A,0003991502,8
A0003991510,A,0003991510,8
A0004008298,A,0004008298,6378
A0004014676,A,0004014676,6378
A0004045936,A,0004045936,81
A0004046017,A,0004046017,81
A0004049011,A,0004049011,2994
A0004122198,A,0004122198,3787
A0004125985,A,0004125985,3787
A0004147591,A,0004147591,3103
A0004150694,A,0004150694,3103
A0004181806,A,0004181806,31112
A0004217949,A,0004217949,13983
A0004231932,A,0004231932,13983
A0004282141,A,0004282141,50209
A0004333670,A,0004333670,388
A0004334058,A,0004334058,388
A0004334678,A,0004334678,620
A0004346979,A,0004346979,9809
A0004356788,A,0004356788,8036
A0004364824,A,0004364824,716
A0004365540,A,0004365540,716
A0004394557,A,0004394557,5148
A0004399705,A,0004399705,5148
A0004407748,A,0004407748,2994
A0004410742,A,0004410742,148
A0004410890,A,0004410890,148
A0004425765,A,0004425765,725
A0004426490,A,0004426490,372
A0004426862,A,0004426862,372
A0004433447,A,0004433447,1279
A0004434726,A,0004434726,148
A0004434874,A,0004434874,148
A0004444717,A,0004444717,9843
A0004482949,A,0004482949,3670
A0004486619,A,0004486619,3358
A0004489977,A,0004489977,3358
A0004500047,A,0004500047,148
A0004500195,A,0004500195,148
A0004520490,A,0004520490,7112
A0004527602,A,0004527602,3293
A0004530895,A,0004530895,3293
A0004539516,A,0004539516,8621
A0004549101,A,0004549101,9585
A0004561932,A,0004561932,445
A0004562377,A,0004562377,445
A0004562914,A,0004562914,214
A0004563128,A,0004563128,214
A0004611406,A,0004611406,214
A0004611620,A,0004611620,214
A0004612586,A,0004612586,966
A0004643326,A,0004643326,91
A0004643417,A,0004643417,57
A0004643474,A,0004643474,57
A0004664322,A,0004664322,7492
A0004671814,A,0004671814,7492
A0004684833,A,0004684833,25
A0004684858,A,0004684858,25
A0004693651,A,0004693651,8793
A0004733192,A,0004733192,34519
A0004767711,A,0004767711,6824
A0004774535,A,0004774535,380
A0004774915,A,0004774915,380
A0004789269,A,0004789269,24
A0004789293,A,0004789293,24
A0004797270,A,0004797270,7977
A0004816203,A,0004816203,7087
A0004823290,A,0004823290,2286
A0004825576,A,0004825576,584
A0004826160,A,0004826160,584
A0004834180,A,0004834180,604
A0004834784,A,0004834784,149
A0004834933,A,0004834933,25
A0004834958,A,0004834958,25
A0004835377,A,0004835377,190
A0004835567,A,0004835567,58
A0004835625,A,0004835625,58
A0004836938,A,0004836938,1071
A0004838009,A,0004838009,131
A0004838140,A,0004838140,131
A0004839064,A,0004839064,924
A0004840096,A,0004840096,255
A0004840351,A,0004840351,255
A0004841953,A,0004841953,82
A0004842035,A,0004842035,82
A0004842159,A,0004842159,124
A0004844254,A,0004844254,42
A0004844296,A,0004844296,42
A0004844635,A,0004844635,339
A0004845566,A,0004845566,157
A0004845723,A,0004845723,157
A0004846408,A,0004846408,214
A0004846622,A,0004846622,214
A0004862298,A,0004862298,2071
A0004864369,A,0004864369,2071
A0004868931,A,0004868931,18
A0004868949,A,0004868949,18
A0004869392,A,0004869392,443
A0004872008,A,0004872008,570
A0004872578,A,0004872578,570
A0004874301,A,0004874301,18
A0004874319,A,0004874319,18
A0004874590,A,0004874590,271
A0004874863,A,0004874863,50
A0004874913,A,0004874913,50
A0004876454,A,0004876454,1541
A0004879003,A,0004879003,2549
A0004885992,A,0004885992,1360
A0004887352,A,0004887352,8
A0004887360,A,0004887360,8
A0004889788,A,0004889788,149
A0004889937,A,0004889937,149
A0004890844,A,0004890844,907
A0004892162,A,0004892162,1318
A0004894218,A,0004894218,172
A0004894390,A,0004894390,172
A0004895181,A,0004895181,791
A0004900924,A,0004900924,1047
A0004901971,A,0004901971,40
A0004902011,A,0004902011,40
A0004902276,A,0004902276,24
A0004902300,A,0004902300,24
A0004902508,A,0004902508,208
A0004904991,A,0004904991,64
A0004905055,A,0004905055,8
A0004905063,A,0004905063,8
A0004905196,A,0004905196,133
A0004905501,A,0004905501,289
A0004905790,A,0004905790,34
A0004905824,A,0004905824,34
A0004905881,A,0004905881,57
A0004906053,A,0004906053,172
A0004909677,A,0004909677,3624
A0004919353,A,0004919353,50
A0004919403,A,0004919403,50
A0004919577,A,0004919577,174
A0004943346,A,0004943346,807
A0004944153,A,0004944153,282
A0004944435,A,0004944435,282
A0004945416,A,0004945416,981
A0004948337,A,0004948337,1344
A0004949681,A,0004949681,660
A0004950341,A,0004950341,49
A0004950390,A,0004950390,49
A0004957460,A,0004957460,34
A0004957494,A,0004957494,16
A0004957510,A,0004957510,16
A0004957866,A,0004957866,337
A0004958203,A,0004958203,57
A0004958260,A,0004958260,57
A0004958385,A,0004958385,34
A0004958419,A,0004958419,34
A0004968087,A,0004968087,4315
A0004972402,A,0004972402,380
A0004972782,A,0004972782,380
A0004975611,A,0004975611,232
A0004975843,A,0004975843,232
A0004997003,A,0004997003,10617
A0005007620,A,0005007620,1255
A0005008875,A,0005008875,1255
A0005010699,A,0005010699,1824
A0005024054,A,0005024054,290
A0005024344,A,0005024344,190
A0005024534,A,0005024534,174
A0005024708,A,0005024708,148
A0005024856,A,0005024856,115
A0005024971,A,0005024971,115
A0005038476,A,0005038476,5907
A0005044383,A,0005044383,297
A0005044680,A,0005044680,297
A0005045661,A,0005045661,981
A0005049606,A,0005049606,568
A0005050174,A,0005050174,568
A0005055462,A,0005055462,414
A0005055876,A,0005055876,414
A0005058391,A,0005058391,133
A0005058524,A,0005058524,133
A0005068895,A,0005068895,105
A0005069000,A,0005069000,105
A0005071139,A,0005071139,2139
A0005075205,A,0005075205,3160
A0005078365,A,0005078365,50
A0005078415,A,0005078415,50
A0005078696,A,0005078696,281
A0005079447,A,0005079447,751
A0005083753,A,0005083753,329
A0005084082,A,0005084082,216
A0005084298,A,0005084298,216
A0005084785,A,0005084785,487
A0005085303,A,0005085303,148
A0005085451,A,0005085451,148
A0005085691,A,0005085691,91
A0005085782,A,0005085782,91
A0005086244,A,0005086244,462
A0005089917,A,0005089917,370
A0005090287,A,0005090287,370
A0005091004,A,0005091004,42
A0005091046,A,0005091046,42
A0005091467,A,0005091467,313
A0005091780,A,0005091780,313
A0005098975,A,0005098975,668
A0005099643,A,0005099643,668
A0005100573,A,0005100573,930
A0005101712,A,0005101712,41
A0005101753,A,0005101753,41
A0005102009,A,0005102009,256
A0005104120,A,0005104120,91
A0005104211,A,0005104211,26
A0005104237,A,0005104237,26
A0005104344,A,0005104344,57
A0005104401,A,0005104401,57
A0005104856,A,0005104856,455
A0005110655,A,0005110655,462
A0005111117,A,0005111117,396
A0005111513,A,0005111513,396
A0005112057,A,0005112057,92
A0005112149,A,0005112149,92
A0005112305,A,0005112305,156
A0005115274,A,0005115274,16
A0005115290,A,0005115290,16
A0005115324,A,0005115324,34
A0005115548,A,0005115548,224
A0005116744,A,0005116744,49
A0005116793,A,0005116793,49
A0005117015,A,0005117015,222
A0005118120,A,0005118120,1105
A0005129705,A,0005129705,99
A0005129804,A,0005129804,99
A0005132691,A,0005132691,628
A0005133319,A,0005133319,123
A0005133442,A,0005133442,123
A0005145412,A,0005145412,49
A0005145461,A,0005145461,49
A0005147160,A,0005147160,1699
A0005172341,A,0005172341,421
A0005172762,A,0005172762,421
A0005173919,A,0005173919,873
A0005174792,A,0005174792,50
A0005174842,A,0005174842,50
A0005174933,A,0005174933,8
A0005174941,A,0005174941,8
A0005181565,A,0005181565,866
A0005182431,A,0005182431,635
A0005183066,A,0005183066,264
A0005183330,A,0005183330,264
A0005183769,A,0005183769,439
A0005184973,A,0005184973,1204
A0005187588,A,0005187588,2523
A0005190111,A,0005190111,41
A0005190152,A,0005190152,26
A0005190178,A,0005190178,26
A0005194188,A,0005194188,1831
A0005196019,A,0005196019,16
A0005196035,A,0005196035,16
A0005201389,A,0005201389,99
A0005201488,A,0005201488,99
A0005213491,A,0005213491,99
A0005213590,A,0005213590,99
A0005213749,A,0005213749,159
A0005216205,A,0005216205,331
A0005216536,A,0005216536,331
A0005223839,A,0005223839,352
A0005224191,A,0005224191,18
A0005224209,A,0005224209,18
A0005225016,A,0005225016,91
A0005225107,A,0005225107,91
A0005225297,A,0005225297,190
A0005225735,A,0005225735,124
A0005225859,A,0005225859,58
A0005225917,A,0005225917,58
A0005225982,A,0005225982,65
A0005227350,A,0005227350,1368
A0005233572,A,0005233572,2639
A0005236211,A,0005236211,208
A0005236419,A,0005236419,208
A0005238092,A,0005238092,1673
A0005240429,A,0005240429,1855
A0005242284,A,0005242284,487
A0005242771,A,0005242771,404
A0005243175,A,0005243175,404
A0005245345,A,0005245345,1427
A0005246772,A,0005246772,34
A0005246806,A,0005246806,34
A0005247390,A,0005247390,584
A0005249990,A,0005249990,40
A0005250030,A,0005250030,40
A0005250386,A,0005250386,356
A0005260245,A,0005260245,5288
A0005265533,A,0005265533,5288
A0005272745,A,0005272745,3464
A0005276209,A,0005276209,643
A0005276852,A,0005276852,42
A0005276894,A,0005276894,42
A0005277322,A,0005277322,428
A0005278064,A,0005278064,742
A0005280011,A,0005280011,1636
A0005281647,A,0005281647,701
A0005282348,A,0005282348,122
A0005282470,A,0005282470,122
A0005289061,A,0005289061,266
A0005289327,A,0005289327,49
A0005289376,A,0005289376,49
A0005289509,A,0005289509,65
A0005289574,A,0005289574,65
A0005289681,A,0005289681,107
A0005291752,A,0005291752,313
A0005292065,A,0005292065,183
A0005292248,A,0005292248,49
A0005292297,A,0005292297,49
A0005294996,A,0005294996,286
A0005295282,A,0005295282,248
A0005295530,A,0005295530,248
A0005296223,A,0005296223,49
A0005296272,A,0005296272,8
A0005296280,A,0005296280,8
A0005296553,A,0005296553,232
A0005296785,A,0005296785,232
A0005297254,A,0005297254,469
A0005304480,A,0005304480,109
A0005304589,A,0005304589,109
A0005309075,A,0005309075,3244
A0005312319,A,0005312319,24
A0005312343,A,0005312343,24
A0005313564,A,0005313564,365
A0005313929,A,0005313929,311
A0005314240,A,0005314240,257
A0005314497,A,0005314497,115
A0005314612,A,0005314612,115
A0005317896,A,0005317896,172
A0005318068,A,0005318068,32
A0005318100,A,0005318100,32
A0005318399,A,0005318399,299
A0005320197,A,0005320197,354
A0005320551,A,0005320551,354
A0005331285,A,0005331285,380
A0005331665,A,0005331665,380
A0005332424,A,0005332424,759
A0005336474,A,0005336474,141
A0005336615,A,0005336615,41
A0005336656,A,0005336656,41
A0005336771,A,0005336771,68
A0005336839,A,0005336839,68
A0005337092,A,0005337092,34
A0005337126,A,0005337126,34
A0005337308,A,0005337308,182
A0005351010,A,0005351010,877
A0005351887,A,0005351887,113
A0005352000,A,0005352000,26
A0005352026,A,0005352026,26
A0005352489,A,0005352489,463
A0005356191,A,0005356191,18
A0005356209,A,0005356209,18
A0005356605,A,0005356605,8
A0005356613,A,0005356613,8
A0005356639,A,0005356639,26
A0005358460,A,0005358460,818
A0005359278,A,0005359278,347
A0005359625,A,0005359625,347
A0005369319,A,0005369319,148
A0005369467,A,0005369467,8
A0005369475,A,0005369475,8
A0005369509,A,0005369509,34
A0005369939,A,0005369939,430
A0005377890,A,0005377890,157
A0005378047,A,0005378047,65
A0005378112,A,0005378112,65
A0005378450,A,0005378450,338
A0005380944,A,0005380944,2494
A0005385281,A,0005385281,471
A0005385752,A,0005385752,84
A0005385836,A,0005385836,84
A0005387410,A,0005387410,83
A0005387493,A,0005387493,83
A0005394929,A,0005394929,1573
A0005396502,A,0005396502,83
A0005396585,A,0005396585,83
A0005396858,A,0005396858,8
A0005396866,A,0005396866,8
A0005397120,A,0005397120,18
A0005397138,A,0005397138,18
A0005397427,A,0005397427,289
A0005409404,A,0005409404,75
A0005409479,A,0005409479,75
A0005409644,A,0005409644,165
A0005410048,A,0005410048,205
A0005410253,A,0005410253,205
A0005410584,A,0005410584,42
A0005410626,A,0005410626,42
A0005410840,A,0005410840,75
A0005410915,A,0005410915,75
A0005411160,A,0005411160,245
A0005411582,A,0005411582,422
A0005414677,A,0005414677,165
A0005414842,A,0005414842,165
A0005416086,A,0005416086,479
A0005416565,A,0005416565,91
A0005416656,A,0005416656,91
A0005416763,A,0005416763,107
A0005417381,A,0005417381,372
A0005417753,A,0005417753,305
A0005418058,A,0005418058,305
A0005418496,A,0005418496,438
A0005419114,A,0005419114,34
A0005419148,A,0005419148,34
A0005429790,A,0005429790,4265
A0005434055,A,0005434055,464
A0005434519,A,0005434519,464
A0005435375,A,0005435375,133
A0005435508,A,0005435508,73
A0005435581,A,0005435581,73
A0005445002,A,0005445002,9421
A0005458526,A,0005458526,255
A0005458781,A,0005458781,75
A0005458856,A,0005458856,75
A0005459565,A,0005459565,91
A0005459656,A,0005459656,91
A0005459920,A,0005459920,264
A0005460225,A,0005460225,305
A0005461926,A,0005461926,16
A0005461942,A,0005461942,16
A0005462213,A,0005462213,174
A0005462387,A,0005462387,174
A0005462916,A,0005462916,105
A0005463021,A,0005463021,18
A0005463039,A,0005463039,8
A0005463047,A,0005463047,8
A0005468863,A,0005468863,1254
A0005470117,A,0005470117,1254
A0005473889,A,0005473889,8
A0005473897,A,0005473897,8
A0005475447,A,0005475447,1550
A0005481312,A,0005481312,41
A0005481353,A,0005481353,41
A0005481510,A,0005481510,157
A0005481718,A,0005481718,41
A0005481759,A,0005481759,41
A0005482591,A,0005482591,832
A0005487459,A,0005487459,206
A0005487665,A,0005487665,50
A0005487715,A,0005487715,16
A0005487731,A,0005487731,16
A0005488176,A,0005488176,445
A0005488838,A,0005488838,662
A0005495320,A,0005495320,826
A0005496146,A,0005496146,826
A0005499033,A,0005499033,231
A0005499264,A,0005499264,231
A0005499934,A,0005499934,8
A0005499942,A,0005499942,8
A0005500012,A,0005500012,70
A0005500509,A,0005500509,164
A0005500673,A,0005500673,164
A0005503164,A,0005503164,198
A0005503362,A,0005503362,183
A0005503545,A,0005503545,183
A0005503941,A,0005503941,164
A0005504105,A,0005504105,49
A0005504154,A,0005504154,8
A0005504162,A,0005504162,8
A0005504303,A,0005504303,141
A0005504931,A,0005504931,18
A0005504949,A,0005504949,18
A0005505326,A,0005505326,49
A0005505375,A,0005505375,16
A0005505391,A,0005505391,16
A0005505524,A,0005505524,8
A0005505532,A,0005505532,8
A0005507413,A,0005507413,1881
A0005509682,A,0005509682,2269
A0005512173,A,0005512173,2491
A0005515820,A,0005515820,206
A0005516026,A,0005516026,206
A0005522370,A,0005522370,472
A0005522842,A,0005522842,472
A0005523766,A,0005523766,363
A0005524129,A,0005524129,73
A0005524202,A,0005524202,8
A0005524210,A,0005524210,8
A0005524624,A,0005524624,414
A0005525050,A,0005525050,426
A0005527296,A,0005527296,198
A0005527494,A,0005527494,198
A0005527825,A,0005527825,331
A0005530340,A,0005530340,67
A0005530407,A,0005530407,67
A0005530654,A,0005530654,247
A0005536636,A,0005536636,239
A0005536875,A,0005536875,239
A0005545991,A,0005545991,3473
A0005549464,A,0005549464,1173
A0005550637,A,0005550637,1173
A0005558374,A,0005558374,2353
A0005560727,A,0005560727,2353
A0005565577,A,0005565577,462
A0005566039,A,0005566039,462
A0005566815,A,0005566815,776
A0005568084,A,0005568084,586
A0005568670,A,0005568670,141
A0005568811,A,0005568811,141
A0005570924,A,0005570924,1344
A0005572268,A,0005572268,775
A0005573043,A,0005573043,75
A0005573118,A,0005573118,75
A0005573654,A,0005573654,92
A0005573746,A,0005573746,65
A0005573811,A,0005573811,65
A0005574041,A,0005574041,230
A0005574314,A,0005574314,273
A0005576541,A,0005576541,2227
A0005585732,A,0005585732,223
A0005585955,A,0005585955,223
A0005586219,A,0005586219,264
A0005591961,A,0005591961,181
A0005592142,A,0005592142,67
A0005592209,A,0005592209,67
A0005595855,A,0005595855,2921
A0005598776,A,0005598776,198
A0005598974,A,0005598974,198
A0005609300,A,0005609300,42
